day,new features,edits
2015-05-26 00:00:00+05:45,0,157
2014-12-23 00:00:00+05:45,0,4
2013-02-16 00:00:00+05:45,1212,107
2012-09-04 00:00:00+05:45,806,233
2013-07-09 00:00:00+05:45,111,1195
2010-06-10 00:00:00+05:45,4,8
2009-07-06 00:00:00+05:45,52,50
2012-09-06 00:00:00+05:45,776,223
2011-05-09 00:00:00+05:45,1561,466
2014-10-15 00:00:00+05:45,217,188
2016-03-16 00:00:00+05:45,0,18
2013-09-18 00:00:00+05:45,4114,2388
2013-10-31 00:00:00+05:45,3135,1872
2011-10-15 00:00:00+05:45,0,1
2010-05-01 00:00:00+05:45,0,1
2015-05-03 00:00:00+05:45,0,160
2015-02-23 00:00:00+05:45,0,27
2016-06-12 00:00:00+05:45,0,390
2013-06-14 00:00:00+05:45,783,333
2011-04-13 00:00:00+05:45,0,1
2012-08-07 00:00:00+05:45,2029,557
2013-06-08 00:00:00+05:45,2180,2244
2009-05-02 00:00:00+05:45,51,18
2013-03-20 00:00:00+05:45,9244,609
2012-05-22 00:00:00+05:45,0,6
2014-06-07 00:00:00+05:45,3616,329
2014-09-05 00:00:00+05:45,7047,953
2015-11-12 00:00:00+05:45,0,2
2016-05-21 00:00:00+05:45,0,1
2014-02-13 00:00:00+05:45,1924,81
2012-09-05 00:00:00+05:45,934,668
2015-04-30 00:00:00+05:45,0,1025
2011-07-18 00:00:00+05:45,283,4
2016-09-06 00:00:00+05:45,0,3
2014-03-14 00:00:00+05:45,157,2088
2014-06-21 00:00:00+05:45,15,140
2013-07-12 00:00:00+05:45,66,254
2014-04-02 00:00:00+05:45,164,221
2014-10-21 00:00:00+05:45,1597,761
2014-09-09 00:00:00+05:45,13650,1606
2012-02-15 00:00:00+05:45,6,426
2013-08-09 00:00:00+05:45,1364,100
2014-01-17 00:00:00+05:45,3226,150
2016-03-09 00:00:00+05:45,0,2
2014-11-26 00:00:00+05:45,12960,2428
2014-05-05 00:00:00+05:45,4793,929
2010-01-23 00:00:00+05:45,366,1
2012-01-24 00:00:00+05:45,0,3
2014-04-20 00:00:00+05:45,1805,990
2010-08-11 00:00:00+05:45,1094,116
2014-11-21 00:00:00+05:45,731,65
2010-07-08 00:00:00+05:45,88,18
2008-10-24 00:00:00+05:45,0,5
2013-05-08 00:00:00+05:45,756,694
2013-09-30 00:00:00+05:45,10494,2816
2013-07-26 00:00:00+05:45,1586,144
2013-07-03 00:00:00+05:45,390,116
2015-05-27 00:00:00+05:45,0,61
2011-11-07 00:00:00+05:45,0,1
2010-07-04 00:00:00+05:45,1,0
2012-09-13 00:00:00+05:45,3509,124
2013-11-03 00:00:00+05:45,2826,246
2015-05-20 00:00:00+05:45,0,62
2014-06-16 00:00:00+05:45,725,58
2014-04-07 00:00:00+05:45,810,15
2011-06-25 00:00:00+05:45,74,207
2014-10-22 00:00:00+05:45,1940,342
2015-03-29 00:00:00+05:45,0,116
2016-06-02 00:00:00+05:45,0,1
2014-05-26 00:00:00+05:45,264,65
2014-06-29 00:00:00+05:45,312,1137
2008-11-22 00:00:00+05:45,11,937
2011-07-19 00:00:00+05:45,200,185
2013-07-16 00:00:00+05:45,2741,839
2014-11-08 00:00:00+05:45,10840,1232
2015-11-22 00:00:00+05:45,0,12
2010-09-26 00:00:00+05:45,0,1
2015-12-05 00:00:00+05:45,0,1
2011-06-20 00:00:00+05:45,97,4
2012-08-25 00:00:00+05:45,611,399
2010-12-04 00:00:00+05:45,0,1
2012-12-03 00:00:00+05:45,712,217
2012-12-02 00:00:00+05:45,1912,1211
2013-01-11 00:00:00+05:45,3555,274
2011-12-30 00:00:00+05:45,2,11
2013-06-10 00:00:00+05:45,1368,890
2013-11-29 00:00:00+05:45,1332,159
2015-09-11 00:00:00+05:45,0,1
2013-01-13 00:00:00+05:45,1886,385
2015-06-28 00:00:00+05:45,0,7
2009-09-24 00:00:00+05:45,0,1
2013-03-08 00:00:00+05:45,14430,576
2008-11-29 00:00:00+05:45,4,0
2010-11-18 00:00:00+05:45,32,26
2007-08-29 00:00:00+05:45,695,0
2013-08-11 00:00:00+05:45,5480,2427
2010-10-13 00:00:00+05:45,5,1
2011-08-02 00:00:00+05:45,969,482
2014-12-28 00:00:00+05:45,0,5
2014-03-08 00:00:00+05:45,1612,74
2012-01-05 00:00:00+05:45,0,36
2009-12-02 00:00:00+05:45,958,15
2015-11-07 00:00:00+05:45,0,28
2010-09-27 00:00:00+05:45,690,2
2015-01-12 00:00:00+05:45,0,5
2013-04-19 00:00:00+05:45,5314,507
2013-08-27 00:00:00+05:45,4248,460
2012-11-29 00:00:00+05:45,2021,188
2011-05-01 00:00:00+05:45,181,61
2011-01-13 00:00:00+05:45,8,2
2015-05-31 00:00:00+05:45,0,13
2014-02-03 00:00:00+05:45,1525,386
2015-07-27 00:00:00+05:45,0,4
2010-11-28 00:00:00+05:45,7,5
2008-11-23 00:00:00+05:45,21,328
2015-10-13 00:00:00+05:45,0,3
2014-05-02 00:00:00+05:45,484,1033
2014-10-03 00:00:00+05:45,0,3
2016-05-20 00:00:00+05:45,0,8
2014-07-02 00:00:00+05:45,2311,90
2013-11-10 00:00:00+05:45,3349,2538
2007-09-03 00:00:00+05:45,236,0
2015-06-21 00:00:00+05:45,0,2
2014-10-30 00:00:00+05:45,3816,784
2013-04-02 00:00:00+05:45,1755,348
2012-05-02 00:00:00+05:45,0,1
2012-12-18 00:00:00+05:45,712,550
2013-03-03 00:00:00+05:45,9695,1619
2009-11-18 00:00:00+05:45,2,11
2013-09-10 00:00:00+05:45,3440,1199
2012-08-31 00:00:00+05:45,873,35
2013-04-08 00:00:00+05:45,5701,865
2009-11-15 00:00:00+05:45,619,273
2014-04-27 00:00:00+05:45,1384,1110
2010-07-18 00:00:00+05:45,0,1
2013-01-03 00:00:00+05:45,406,142
2013-12-14 00:00:00+05:45,40,18
2011-10-26 00:00:00+05:45,494,957
2008-06-04 00:00:00+05:45,1888,138
2015-05-22 00:00:00+05:45,0,61
2008-12-09 00:00:00+05:45,463,46
2014-10-12 00:00:00+05:45,297,17
2013-11-24 00:00:00+05:45,626,374
