Date,New Features,Edits
3/18/2007,1,0
6/3/2007,2,0
6/12/2007,121,0
6/28/2007,160,0
7/1/2007,637,0
7/2/2007,368,0
7/4/2007,687,0
8/22/2007,1,0
8/27/2007,717,0
8/28/2007,941,0
9/2/2007,236,0
10/12/2007,3,2
11/10/2007,36,0
11/28/2007,1,1
11/30/2007,0,1
12/12/2007,7,1
1/16/2008,5,3
1/26/2008,0,1
2/4/2008,233,0
2/7/2008,51,0
2/26/2008,1,0
3/21/2008,144,17
3/22/2008,40,5
3/23/2008,185,109
3/25/2008,2,0
3/27/2008,1,2
3/30/2008,10,0
4/6/2008,5,0
4/18/2008,215,84
5/14/2008,4,1
5/16/2008,0,4
5/23/2008,0,1
5/30/2008,504,0
5/31/2008,4046,26
6/1/2008,671,3
6/2/2008,1053,20
6/3/2008,1850,28
6/4/2008,0,30
6/5/2008,1445,3
6/6/2008,716,5
6/7/2008,16,3
6/8/2008,5,2
6/9/2008,0,10
6/10/2008,51,20
6/11/2008,0,4
6/22/2008,58,1
6/27/2008,474,7
7/6/2008,10,3
7/10/2008,0,1
7/12/2008,553,9
7/18/2008,53,0
7/19/2008,146,2
7/22/2008,914,0
7/27/2008,3,1
8/2/2008,117,0
8/11/2008,0,1
8/15/2008,176,24
8/19/2008,307,13
8/21/2008,5,13
8/23/2008,51,0
8/27/2008,0,1
9/4/2008,1577,214
9/5/2008,456,11
9/7/2008,0,41
9/8/2008,1413,184
9/9/2008,3023,16
9/10/2008,0,18
9/12/2008,1691,1
9/13/2008,3136,72
9/14/2008,0,1
9/16/2008,723,11
9/18/2008,0,31
9/24/2008,288,3
9/26/2008,7,0
9/28/2008,1,0
10/8/2008,28,90
10/13/2008,689,246
10/22/2008,4392,5650
11/5/2008,0,2
11/8/2008,1430,0
11/9/2008,2576,6
11/19/2008,29,162
11/20/2008,8,131
11/21/2008,5,18
11/22/2008,6,154
11/23/2008,13,80
11/24/2008,19,185
11/25/2008,5,1
11/26/2008,36,36
11/28/2008,3,0
12/5/2008,0,1430
12/6/2008,2325,15
12/9/2008,462,36
12/13/2008,0,1034
12/14/2008,0,101
12/31/2008,0,101
1/6/2009,885,2551
1/11/2009,2,704
1/20/2009,0,432
1/22/2009,217,175
1/25/2009,1962,5922
1/26/2009,315,961
1/30/2009,223,430
2/1/2009,0,38
2/2/2009,0,2
2/4/2009,133,1
2/6/2009,134,3
2/7/2009,32,4
2/9/2009,308,3761
2/10/2009,4,1
2/17/2009,3,388
2/22/2009,0,2
2/23/2009,39,525
2/24/2009,0,19
2/25/2009,0,1
2/26/2009,86,23
2/28/2009,117,32
3/1/2009,102,535
3/2/2009,107,210
3/3/2009,0,89
3/6/2009,0,220
